,ID,Is_It_Dog?,Type_of_Object,Hour,Num_of_Retweet,Num_of_Favorite
1226,745057283344719872,1,0,0.0,2585.0,7945.0
1227,745314880350101504,0,0,17.0,3131.0,7863.0
1228,745422732645535745,1,0,1.0,2768.0,9412.0
1229,745433870967832576,0,1,1.0,2894.0,7824.0
1230,745712589599014916,0,0,20.0,2636.0,7652.0
1231,745789745784041472,1,0,1.0,1207.0,4437.0
1232,746056683365994496,1,0,19.0,931.0,3904.0
1233,746131877086527488,1,0,0.0,2511.0,7565.0
1234,746369468511756288,1,0,15.0,1854.0,6637.0
1235,746507379341139972,1,0,0.0,1226.0,5094.0
1236,746726898085036033,1,0,15.0,2037.0,6648.0
1237,746790600704425984,1,0,19.0,1806.0,5345.0
1238,746818907684614144,0,0,21.0,1944.0,5807.0
1239,746872823977771008,1,0,1.0,2429.0,6593.0
1240,746906459439529985,0,0,3.0,336.0,3168.0
1241,747103485104099331,1,0,16.0,4548.0,10534.0
1242,747204161125646336,0,0,23.0,1038.0,3722.0
1243,747219827526344708,1,0,0.0,1791.0,5792.0
1244,747461612269887489,0,0,16.0,1169.0,4249.0
1245,747512671126323200,1,0,19.0,1803.0,6110.0
1246,747594051852075008,1,0,0.0,1205.0,4065.0
1247,747600769478692864,1,0,1.0,619.0,2545.0
1248,747816857231626240,1,0,15.0,1316.0,5346.0
1249,747844099428986880,1,0,17.0,851.0,3084.0
1250,747885874273214464,1,0,20.0,1116.0,3243.0
1251,747933425676525569,1,0,23.0,2894.0,7310.0
1252,747963614829678593,1,3,1.0,2444.0,6397.0
1253,748307329658011649,0,0,0.0,810.0,4027.0
1254,748324050481647620,1,0,1.0,867.0,4078.0
1255,748346686624440324,1,0,2.0,1413.0,5735.0
1256,748568946752774144,1,0,17.0,776.0,2411.0
1257,748575535303884801,0,0,17.0,2272.0,6696.0
1258,748692773788876800,0,1,1.0,1504.0,4659.0
1259,748699167502000129,1,0,2.0,1814.0,5213.0
1260,748705597323898880,0,0,2.0,1067.0,3047.0
1261,748932637671223296,1,1,17.0,2564.0,6461.0
1262,748977405889503236,1,0,20.0,3759.0,11235.0
1263,749036806121881602,0,0,0.0,896.0,3425.0
1264,749064354620928000,1,0,2.0,1714.0,5277.0
1265,749317047558017024,1,2,19.0,2509.0,6076.0
1266,749395845976588288,1,0,0.0,3951.0,9488.0
1267,749403093750648834,1,0,0.0,622.0,2892.0
1268,749417653287129088,1,3,1.0,1904.0,6721.0
1269,749774190421639168,1,0,1.0,1493.0,5114.0
1270,749981277374128128,0,0,15.0,2772.0,5569.0
1271,749996283729883136,1,0,16.0,919.0,3331.0
1272,750011400160841729,0,1,17.0,1035.0,3568.0
1273,750026558547456000,1,0,18.0,888.0,2986.0
1274,750041628174217216,1,0,19.0,703.0,3502.0
1275,750056684286914561,1,0,20.0,1011.0,3444.0
1276,750071704093859840,1,3,21.0,3802.0,8653.0
1277,750086836815486976,1,0,22.0,613.0,2383.0
1278,750101899009982464,1,0,23.0,959.0,3344.0
1279,750117059602808832,1,0,0.0,1466.0,4740.0
1280,750132105863102464,1,0,1.0,1440.0,3990.0
1281,750147208377409536,1,0,2.0,1095.0,3409.0
1282,750383411068534784,1,3,17.0,1309.0,5005.0
1283,750429297815552001,1,0,20.0,4947.0,14569.0
1284,750506206503038976,0,3,1.0,1316.0,4934.0
